PGPR,Dpi,Gene,Rep,Cq
B. subtilis,1,Thi2.1,3,35.68
B. subtilis,4,ICS1,1,23.63
B. subtilis,4,ICS1,2,23.48
B. subtilis,4,ICS1,3,23.35
B. subtilis,4,OPR3,1,34.07
B. subtilis,4,OPR3,2,35.48
B. subtilis,4,OPR3,3,35.2
B. subtilis,4,RdR1,1,23.64
B. subtilis,4,RdR1,2,23.56
B. subtilis,4,RdR1,3,23.58
B. subtilis,4,Thi2.1,1,33.97
B. subtilis,4,Thi2.1,2,36.09
B. subtilis,4,Thi2.1,3,36.06
B. subtilis,7,ICS1,1,23.63
B. subtilis,7,ICS1,2,23.53
B. subtilis,7,ICS1,3,23.5
B. subtilis,7,OPR3,1,33.67
B. subtilis,7,OPR3,2,34.12
B. subtilis,7,OPR3,3,34.52
B. subtilis,7,RdR1,1,23.52
B. subtilis,7,RdR1,2,23.6
B. subtilis,7,RdR1,3,23.57
B. subtilis,7,Thi2.1,1,34.94
B. subtilis,7,Thi2.1,2,37.53
B. subtilis,7,Thi2.1,3,
Control,1,ICS1,1,24.45
Control,1,ICS1,2,24.45
Control,1,ICS1,3,24.25
Control,1,OPR3,1,35.34
Control,1,OPR3,2,35.69
Control,1,OPR3,3,34.7
Control,1,RdR1,1,23.94
Control,1,RdR1,2,24.05
Control,1,RdR1,3,23.87
Control,1,Thi2.1,1,31.91
Control,1,Thi2.1,2,31.55
Control,1,Thi2.1,3,32.04
Control,4,ICS1,1,23.53
Control,4,ICS1,2,23.47
Control,4,ICS1,3,23.45
Control,4,OPR3,1,33.68
Control,4,OPR3,2,35.07
Control,4,OPR3,3,35.29
Control,4,RdR1,1,23.65
Control,4,RdR1,2,23.52
Control,4,RdR1,3,23.52
Control,4,Thi2.1,1,37.01
Control,4,Thi2.1,2,36.17
Control,4,Thi2.1,3,36.29
Control,7,ICS1,1,23.24
Control,7,ICS1,2,23.18
Control,7,ICS1,3,23.28
Control,7,OPR3,1,34.29
Control,7,OPR3,2,34.3
Control,7,OPR3,3,36.52
Control,7,RdR1,1,23.35
Control,7,RdR1,2,23.45
Control,7,RdR1,3,23.31
Control,7,Thi2.1,1,31.73
Control,7,Thi2.1,2,32.25
Control,7,Thi2.1,3,32.12
